model_name,dataset_name,is_redacted,accuracy,precision,recall,f1
BERT,gender_correlation,False,0.9999,0.9999001000442753,0.9999,0.9998999999748914
BERT,gender_correlation,True,0.7197,0.8035688269504888,0.7197,0.6947477843233466
