model_name,dataset_name,is_redacted,accuracy,precision,recall,f1
BERT,gender,False,1.0,1.0,1.0,1.0
BERT,gender,True,0.49284999999999995,0.5029831060730969,0.49284999999999995,0.3610622278170556
