model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,uni,False,1.0,1.0,1.0,1.0,2024-11-14T15:14:22.030798,
BERT,uni,True,0.5065,0.5079154411764706,0.5065,0.4794327788579247,2024-11-14T15:15:21.020387,
