model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,uni,False,1.0,1.0,1.0,1.0,2024-11-14T15:16:20.761127,
BERT,uni,True,0.507,0.5071181175555027,0.507,0.5034543627710206,2024-11-14T15:17:19.692368,
