model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,uni,False,1.0,1.0,1.0,1.0,2024-11-14T15:04:14.977755,
BERT,uni,True,0.51,0.5323312696949124,0.51,0.405300874210782,2024-11-14T15:05:16.233776,
