model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,uni,False,1.0,1.0,1.0,1.0,2024-11-14T15:18:21.257515,
BERT,uni,True,0.515,0.5274572689222903,0.515,0.4509463600578006,2024-11-14T15:19:22.601646,
