model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,gender_correlation,False,0.9995,0.9995005192107996,0.9995,0.9995000093882023,2024-11-14T14:49:59.134258,
BERT,gender_correlation,True,0.7195,0.802651830196129,0.7195,0.6946043236071859,2024-11-14T14:50:58.008075,
