model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,gender_correlation,False,0.9995,0.9995004812319538,0.9995,0.9994999903607122,2024-11-14T14:51:58.268583,
BERT,gender_correlation,True,0.721,0.8006688811188811,0.721,0.6970894960350276,2024-11-14T14:52:56.781247,
