model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,gender_correlation,False,1.0,1.0,1.0,1.0,2024-11-14T14:55:56.838048,
BERT,gender_correlation,True,0.7205,0.8089383656332596,0.7205,0.6947226458295516,2024-11-14T14:56:55.945883,
