model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,gender,False,1.0,1.0,1.0,1.0,2024-11-14T14:29:24.897999,
BERT,gender,True,0.5025,0.5270589597879333,0.5025,0.4094140917062832,2024-11-14T14:30:24.555926,
