model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,gender,False,1.0,1.0,1.0,1.0,2024-11-14T14:37:28.574725,
BERT,gender,True,0.4925,0.5065536766477559,0.4925,0.3543870767889381,2024-11-14T14:38:28.317818,
