model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,gender,False,1.0,1.0,1.0,1.0,2024-11-14T14:27:23.887894,
BERT,gender,True,0.4905,0.49070254732414115,0.4905,0.3456802594095338,2024-11-14T14:28:23.413253,
