model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,gender,False,1.0,1.0,1.0,1.0,2024-11-14T14:25:22.894364,
BERT,gender,True,0.492,0.5004918046088932,0.492,0.36575308412581026,2024-11-14T14:26:22.525191,
