model_name,dataset_name,is_redacted,accuracy,precision,recall,f1,timestamp,fold
BERT,gender,False,1.0,1.0,1.0,1.0,2024-11-14T14:21:21.196924,
BERT,gender,True,0.491,0.49542546583850927,0.491,0.35134123068794704,2024-11-14T14:22:21.318226,
